timestamp,open,high,low,close,volume
2020-10-22,115.0000,116.0600,112.9800,115.7600,7858158
2020-10-21,116.6600,117.6899,114.7900,115.0600,9755308
2020-10-20,119.8000,120.1500,116.8400,117.3700,21501073
2020-10-19,126.8000,127.3500,125.0800,125.5200,7478735
2020-10-16,125.1700,126.4300,124.6550,125.9300,4714320
2020-10-15,124.0800,125.2150,123.8500,124.8900,3389301
2020-10-14,125.1300,126.9400,125.1300,125.9400,3730139
2020-10-13,126.5700,127.1500,124.4600,125.1000,5406088
2020-10-12,128.0700,128.2500,126.4400,127.2100,4635115
2020-10-09,132.0000,132.0000,127.6000,127.7900,8353704
2020-10-08,130.8600,135.5000,129.7700,131.4900,25288926
2020-10-07,122.6700,124.3900,122.3200,124.0700,2815663
2020-10-06,122.5800,124.8300,121.5900,121.9700,3872265
2020-10-05,121.8400,122.7500,121.0500,122.0100,3050949
2020-10-02,119.0400,121.7500,118.8200,120.5700,2925228
2020-10-01,122.3600,123.3000,120.3550,121.0900,3211661
2020-09-30,121.3800,122.9100,120.8000,121.6700,3261235
2020-09-29,121.4100,122.1858,120.2100,120.9400,2130564
2020-09-28,120.5700,122.3300,120.4100,121.7300,3509576
2020-09-25,117.6000,119.4100,116.9400,118.9500,2953686
2020-09-24,118.1000,119.5150,116.4800,118.0900,3546160
2020-09-23,120.8000,121.5900,118.4300,118.8300,3939398
2020-09-22,120.3300,121.4500,119.5300,120.5100,2957809
2020-09-21,120.4800,120.7000,118.5800,120.2500,5311441
2020-09-18,124.2600,124.9200,122.6500,122.7600,5391570
2020-09-17,122.6200,125.5500,121.9700,124.9200,3171262
2020-09-16,122.7100,125.8200,122.7100,124.2200,3789458
2020-09-15,122.8200,123.4000,122.2400,122.4400,2915221
2020-09-14,122.3600,123.3800,121.7600,122.0900,3641887
2020-09-11,121.3900,122.7000,120.7300,121.4600,3548091
2020-09-10,122.5300,123.5764,120.2400,120.5600,3978805
2020-09-09,122.1300,123.7000,121.2900,122.2600,3770678
2020-09-08,122.1600,122.8700,120.7100,121.2100,5210292
2020-09-04,124.3500,125.3500,121.2400,122.3000,6018238
2020-09-03,128.1900,129.9500,123.6500,124.4500,5716750
2020-09-02,123.7200,128.7000,123.5750,128.1800,6592430
2020-09-01,122.8500,123.9500,122.1500,123.4000,3155623
2020-08-31,125.2500,125.2500,123.0300,123.3100,4827879
2020-08-28,124.9600,125.3000,124.2187,125.0700,3099940
2020-08-27,124.6000,125.1000,123.9800,124.6500,3422654
2020-08-26,124.9500,125.1200,123.9500,124.1700,3388687
2020-08-25,126.0000,126.8200,124.4900,124.6400,2977697
2020-08-24,123.7900,126.0600,123.3600,125.6800,4070816
2020-08-21,123.0100,123.4842,122.3100,123.1600,3385051
2020-08-20,123.2000,124.0400,122.8100,123.1500,2561164
2020-08-19,124.8300,125.5000,123.5000,123.8400,3743949
2020-08-18,125.0000,125.5000,124.2400,124.9200,2882355
2020-08-17,125.2500,125.5900,124.4100,124.4400,3336459
2020-08-14,124.2000,125.5600,123.9100,125.2700,2963753
2020-08-13,125.9600,126.3900,124.7700,125.0300,3171258
2020-08-12,127.6100,127.7900,125.8760,126.7000,3530177
2020-08-11,128.7600,130.4700,126.6100,126.7500,5001176
2020-08-10,125.4200,127.2400,125.1849,127.1100,3968295
2020-08-07,123.5000,125.0700,123.2100,124.9600,3651226
2020-08-06,125.0000,126.2600,125.0000,126.1200,3417131
2020-08-05,126.7300,126.7500,124.6100,125.4500,3675400
2020-08-04,123.8200,125.8600,123.8200,125.8400,3431366
2020-08-03,123.5000,124.4100,122.1500,124.3100,3526574
2020-07-31,122.7100,122.9900,121.0900,122.9400,5277652
